date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST
2023-01-03,sh.600000,7.2700,7.2800,7.1700,7.2300,7.2800,25892521,187094064.4100,3,0.088200,1,-0.686800,0
2023-01-04,sh.600000,7.2700,7.3500,7.2300,7.3100,7.2300,30947081,226321372.0500,3,0.105400,1,1.106500,0
2023-01-05,sh.600000,7.3700,7.3800,7.3000,7.3500,7.3100,30162154,221617354.6200,3,0.102800,1,0.547200,0
2023-01-06,sh.600000,7.3500,7.3800,7.3100,7.3400,7.3500,20312881,149170537.8500,3,0.069200,1,-0.136100,0
2023-01-09,sh.600000,7.3800,7.3800,7.3000,7.3400,7.3400,19612260,143998210.6000,3,0.066800,1,0.000000,0
2023-01-10,sh.600000,7.3500,7.3500,7.2800,7.2800,7.3400,16194647,118223821.8600,3,0.055200,1,-0.817400,0
2023-01-11,sh.600000,7.3100,7.3400,7.2700,7.3000,7.2800,19215541,140393995.9200,3,0.065500,1,0.274700,0
2023-01-12,sh.600000,7.3300,7.3400,7.2400,7.2700,7.3000,16849908,122554362.2300,3,0.057400,1,-0.411000,0
2023-01-13,sh.600000,7.2900,7.3500,7.2700,7.3400,7.2700,21770211,159178131.6100,3,0.074200,1,0.962900,0
2023-01-16,sh.600000,7.3500,7.3800,7.2800,7.3300,7.3400,36816941,270170018.1000,3,0.125400,1,-0.136200,0
2023-01-17,sh.600000,7.3400,7.3500,7.2700,7.3000,7.3300,24222613,176749046.1500,3,0.082500,1,-0.409300,0
2023-01-18,sh.600000,7.3100,7.3300,7.2700,7.3100,7.3000,24494551,178868884.9500,3,0.083500,1,0.137000,0
2023-01-19,sh.600000,7.3100,7.3300,7.2600,7.3300,7.3100,16713352,121983725.8700,3,0.056900,1,0.273600,0
2023-01-20,sh.600000,7.3400,7.3600,7.3200,7.3600,7.3300,20986958,154239831.2600,3,0.071500,1,0.409300,0
2023-01-30,sh.600000,7.4300,7.4300,7.3700,7.4000,7.3600,31810739,235352030.4500,3,0.108400,1,0.543500,0
2023-01-31,sh.600000,7.4200,7.4500,7.3700,7.3700,7.4000,28438220,210715444.2400,3,0.096900,1,-0.405400,0
2023-02-01,sh.600000,7.4000,7.4000,7.3300,7.3600,7.3700,18659542,137294549.4200,3,0.063600,1,-0.135700,0
2023-02-02,sh.600000,7.3900,7.3900,7.3200,7.3600,7.3600,21900191,160961795.1600,3,0.074600,1,0.000000,0
2023-02-03,sh.600000,7.3300,7.3500,7.2700,7.2700,7.3600,29885527,217904607.7900,3,0.101800,1,-1.222800,0
