指数代码	指数简称	指数全称	发布日期	退市日期	指数行情	指数权重	指数成分
000001.XSHG	上证指数	上海证券交易所综合指数	1991-07-15	0000-00-00	有	有	有
000002.XSHG	A股指数	上海证券交易所Ａ股指数	1992-02-21	0000-00-00	有	有	有
000003.XSHG	B股指数	上海证券交易所Ｂ股指数	1992-08-17	0000-00-00	有	有	有
000004.XSHG	工业指数	上海证券交易所工业指数	1993-05-03	0000-00-00	有	有	有
000005.XSHG	商业指数	上海证券交易所商业指数	1993-05-03	0000-00-00	有	有	有
000006.XSHG	地产指数	上海证券交易所地产指数	1993-05-03	0000-00-00	有	有	有
000007.XSHG	公用指数	上海证券交易所公用指数	1993-05-03	0000-00-00	有	有	有
000008.XSHG	综合指数	上海证券交易所综合行业指数	1993-05-03	0000-00-00	有	有	有
000009.XSHG	上证380	上证380指数	2010-11-29	0000-00-00	有	有	有
000010.XSHG	上证180	上海证券交易所180成份指数	2002-07-01	0000-00-00	有	有	有
000011.XSHG	基金指数	上海证券交易所基金指数	2000-06-09	0000-00-00	有	有	有
000012.XSHG	国债指数	上海证券交易所国债指数	2003-01-02	0000-00-00	有	有	有
000013.XSHG	企债指数	上海证券交易所企业债券指数	2003-06-09	0000-00-00	有	有	有
000015.XSHG	红利指数	上海证券交易所上证红利指数	2005-01-04	0000-00-00	有	有	有
000016.XSHG	上证50	上海证券交易所50成份指数	2004-01-02	0000-00-00	有	有	有
000017.XSHG	新综指	新上证综指	2006-01-04	0000-00-00	有	有	有
000018.XSHG	180金融	上证180金融股指数	2007-12-10	0000-00-00	有	有	有
000019.XSHG	治理指数	上证公司治理指数	2008-01-02	0000-00-00	有	有	有
000020.XSHG	中型综指	上证中型企业综合指数	2008-05-12	0000-00-00	有	有	有
000021.XSHG	180治理	上证180公司治理指数	2008-09-10	0000-00-00	有	有	有
000022.XSHG	沪公司债	上证公司债指数	2008-11-19	0000-00-00	有	有	有
000023.XSHG	沪分离债	上证分离债指数	2008-11-19	2015-08-31	NA	NA	NA
000025.XSHG	180基建	上证180基建指数	2008-12-15	0000-00-00	有	有	有
000026.XSHG	180资源	上证180资源指数	2008-12-15	0000-00-00	有	有	有
000027.XSHG	180运输	上证180交通运输指数	2008-12-15	0000-00-00	有	有	有
000028.XSHG	180成长	上证180成长指数	2009-01-09	0000-00-00	有	有	有
000029.XSHG	180价值	上证180价值指数	2009-01-09	0000-00-00	有	有	有
000030.XSHG	180R成长	上证180相对成长指数	2009-01-09	0000-00-00	有	有	有
000031.XSHG	180R价值	上证180相对价值指数	2009-01-09	0000-00-00	有	有	有
000032.XSHG	上证能源	上证能源行业指数	2009-01-09	0000-00-00	有	有	有
000033.XSHG	上证材料	上证原材料行业指数	2009-01-09	0000-00-00	有	有	有
000034.XSHG	上证工业	上证工业行业指数	2009-01-09	0000-00-00	有	有	有
